college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
Kasturi College,"Itahari-5, Itahari, Sunsari",Purbanchal University,Bachelor of Business Administration (BBA) Bachelor of Commerce Studies (BCS),private Institution,,,29,3,422
Nepal Western Management and Engineering College,"Santoshi Tole, Santoshi, Dhangadhi, Kailali",Pokhara University,BBA in Banking and Insurance (BBA-BI) Bachelor of Hotel Management (BHM),private Institution,,,28,3,819
Pokhara College of Management,"Gyanmarg, Nadipur, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Computer Information Systems (BCIS),private Institution,,,28,3,397
Nova International College,"Minbhawan, Kathmandu",Delta International University,Bachelor of Business Administration (BBA) Master of Business Administration (MBA),private Institution,,,9,3,647
Pokhara Lincoln International College,"simalchaur-8, Pokhara, Kaski",Lincoln University College,Bachelor (Hons) of Business Administration (BBA) BSc Hons. in Hospitality Management (BHM),private Institution,,,19,3,975
Saptarishi Multiple College,"Rajbiraj, Saptari",Purbanchal University,Bachelor of Business Administration (BBA) Bachelor of Public Health (BPH),private Institution,,,29,3,751
Victoria International College,"Ghorahi, Dang",Pokhara University,Bachelor of Business Administration (BBA) BBA in Banking and Insurance (BBA-BI),private Institution,,,28,3,366
Bright Vision College (BVC) Biratnagar,"Biratnagar - 06, Samjhana Chowk, Biratnagar, Morang",Purbanchal University,Bachelor of Arts Bachelor of Laws (BALLB) Master of Laws (LLM),private Institution,,,29,3,166
National Academy of Applied Science and Technology (NAAST College),"Dharan, Sunsari",National Examinations Board,Diploma in Food/Dairy Technology,private Institution,,,24,3,291
Himalaya Darshan College,"Biratnagar, Morang",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Information Management (BIM) Bachelor of Hotel Management (BHM),private Institution,,,34,3,168
Mission College,"Rajbiraj, Saptari",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science),private Institution,,,34,3,751
Bagmati SS/College,"New Colony, Sukedhara, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Law (+2 Law),private Institution,,,24,3,680
Kamana International College,"Shoyambhu, Sanobharyang, Kathmandu",National Examinations Board,Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW),private Institution,,,24,3,849
KITS College of Science and Management,"Teku, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) BSc Environmental Science,private Institution,,,34,3,920
Lalitpur Valley College,"Jawalakhel, Lalitpur",Tribhuvan University,Bachelor of Food Technology (BTech Food) BSc Microbiology Bachelor of Business Studies (BBS),private Institution,,,34,3,436
SV Academy College,"Buddhanagar, Kathmandu",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) MA in Rural Development (MRD),private Institution,,,24,3,193
College of Applied Sciences,"Thapathali- 11, Kathmandu",Tribhuvan University,BSc Environmental Science MSc Environmental Science,private Institution,,,34,3,933
Kailpal Academy for Health Science,"Surkhet Road, Nepalgunj, Banke",Tribhuvan University,Certificate in Diagnostic Radiography BSc Microbiology Pre-Diploma in Social Mobilization Certificate in Medical Laboratory Technology (CMLT) Pre-Diploma in Computer Engineering (Computer Sub-Overseer) PCL in General Medicine-Health Assistant (HA),private Institution,,,34,3,898
National College of Technical Sciences,"Banasthali Chowk, Balaju, Kathmandu",Tribhuvan University,BSc Microbiology,private Institution,,,34,3,60
National School of Science Education Network,"Lainchour, Kathmandu",Tribhuvan University,BSc in Biochemistry,private Institution,,,34,3,549
Pinnacle College,"Lagankhel, Lalitpur",Tribhuvan University,BSc Microbiology Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Diploma in Pharmacy,private Institution,,,34,3,546
Viswa Niketan Science Campus,"Banasthali Chowk, Balaju, Kathmandu",Tribhuvan University,BSc Environmental Science,private Institution,,,34,3,60
NAMS College,"Old Baneshwor, Kathmandu",Council for Technical Education and Vocational Training,Bachelor of Public Health (BPH) BSc Nursing PCL in General Medicine-Health Assistant (HA) Diploma in Pharmacy,private Institution,,,7,3,687
CIST College,"Sangam Chowk, New Baneshwor, Kathmandu",Pokhara University,Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH) M Pharm in Clinical Pharmacy,private Institution,,,28,3,810
Cosmopolitan College,"Budhanilakantha, Kathmandu",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Arts (BA) Bachelor of Business Studies (BBS),private Institution,,,24,3,195
Sirius College,"Bafal, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,35
Richmond International College,"Kalanki, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA),private Institution,,,34,3,460
Dharan Multiple Campus,"Dharan, Sunsari",Tribhuvan University,Bachelor of Food Technology (BTech Food),private Institution,,,34,3,291
Morgan International College,"Basundhara-3, Kathmandu",Tribhuvan University,Bachelor of Information Management (BIM) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM) Bachelor of Arts in Social Work (BASW) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement),private Institution,,,34,3,96
Bhanubhakta Memorial College,"Panipokhari, Kathmandu",Tribhuvan University,Master of Business Studies (MBS) Bachelor of Business Studies (BBS),private Institution,,,34,3,703
National Law College,"Sanepa Height, Lalitpur",Tribhuvan University,Bachelor of Arts Bachelor of Laws (BALLB) Master of Laws (LLM),private Institution,,,34,3,807
Om Health Campus,"Chabahil, Kathmandu",Purbanchal University,Bachelor of Public Health (BPH) Post Basic Bachelor in Nursing (BNS) BSc Nursing,private Institution,,,29,3,208
Pokhara Engineering College,"Phirke, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Bachelor of Computer Engineering (BE Computer) Bachelor of Civil Engineering Diploma in Civil Engineering Diploma in Electrical and Electronics Engineering Diploma in Computer Engineering Master of Science in Construction Management Bachelor of Electronics and Communication Engineering (BE) Pre-Diploma in Civil Engineering (Civil Sub-Overseer) (Civil Sub-Overseer) Bachelor of Architecture (B.Arch) Pre-Diploma in Electrical Engineering (Electrical Sub-overseer),private Institution,,,28,3,719
Yeti Multiple College,"Biratnagar, Morang",Purbanchal University,Bachelor of Education (BEd) Bachelor of Business Studies (BBS),private Institution,,,29,3,168
Nona Koirala Media College,"Biratnagar, Morang",Purbanchal University,BA in Journalism and Mass Communication (BAMCJ),private Institution,,,29,3,168
Nagarik College of Health Sciences,"Koteshwor, Kathmandu",Purbanchal University,BSc Nursing Post Basic Bachelor in Nursing (BNS),private Institution,,,29,3,529
Krishna Medical and Technical Research Centre,"Janakpur, Dhanusha",Purbanchal University,BSc Nursing Post Basic Bachelor in Nursing (BNS),private Institution,,,29,3,429
Chaitanya Institute of Management,"Shankhamul, New Baneshwor, Kathmandu",The Institute of Chartered Accountants of Nepal,CAP - I CAP - II,private Institution,,,33,3,839
College of Journalism and Mass Communication,"Kapan, Paiyutar, Budhanilakantha, Kathmandu",Purbanchal University,BA in Journalism and Mass Communication (BAMCJ) MA in Mass Communication and Journalism (MAMCJ) Master in Development Studies (MDS),private Institution,,,29,3,479
Damauli College of Higher Studies,"Damauli Bazar, Damauli, Tanahun",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Bachelor of Education (BEd),private Institution,,,24,3,255
Bright Vision College,"Satdobato, Tutepani, Lalitpur",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Arts in Journalism and Mass Communication (BAJM),private Institution,,,34,3,826
Brihaspati College,"Goligadh-9, Bhairahawa, Siddharthanagar, Rupandehi",Pokhara University,Bachelor of Business Studies (BBS) Bachelor of Business Administration (BBA),private Institution,,,28,3,376
College for Higher Education,"Birtamode-6, Birtamod, Birtamode, Jhapa",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Business Studies (BBS),private Institution,,,24,3,184
Manakamana College,"Birtamode-1, Yatayat Office Road, Birtamod, Birtamode, Jhapa",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,183
Kankai Aadarsh Campus,"Birtamode-6, Kankai Tole, Birtamod, Birtamode, Jhapa",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Business Studies (MBS),private Institution,,,24,3,185
Mount Everest College,"Simara, Bara",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,860
Bharabi Science College,"Itahari, Sunsari",Tribhuvan University,Bachelor of Science (General) (BSc),private Institution,,,34,3,419
Crystal College Chitwan,"Chitwan, Ratnanagar, Ratnanagar, Chitwan",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities),private Institution,,,24,3,238
Oxford College of Engineering and Management,"Gaindakot-2, Gaindakot, Nawalpur",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Electrical and Electronics Engineering Bachelor of Civil Engineering Bachelor of Computer Application (BCA),private Institution,,,28,3,340
Dignity College,"Baglung Bazar, Baglung",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,42
Imperial Business College,"Hattisar Sadak, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Health Care Management (BHCM),private Institution,,,28,3,403
Kantipur Academy of Health Science,"Tinkune, Kathmandu",Council for Technical Education and Vocational Training,Certificate in Medical Laboratory Technology (CMLT) Certificate in Diagnostic Radiography Post Basic Bachelor in Nursing (BNS) BSc Nursing Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH),private Institution,,,7,3,948
Xavier International College,"Tushal, Bouddha, Gokarneshwar, Kathmandu",National Examinations Board,BSc Microbiology BSc Environmental Science Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS),private Institution,,,24,3,960
Freeborn Gyankunj College,"Banepa-5, Banepa, Kavrepalanchok",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,71
Glorious College,"Kalikanagar, Butwal-11, Butwal, Rupandehi",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement),private Institution,,,24,3,464
LA GRANDEE International College,"Simalchaur, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Computer Application (BCA) Bachelor of Public Health (BPH),private Institution,,,28,3,859
Gram Prakash Multiple Campus,"Lekfant, Lekhphant, Jaljala, Parbat",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,565
Valley College of Technical Sciences,"Sitapaila-2, Kathmandu",Purbanchal University,Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH),private Institution,,,29,3,874
Gramsewa College,"Dharmasthali, Tarakeshwor, Tarakeshwor, Kathmandu",Tribhuvan University,Bachelor of Education (BEd),private Institution,,,34,3,294
​Nirvana College,"Kumaripati, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,536
Laligurans Rastriya College,"New Baneshwor, Shankhamul, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,678
Kantipur Dental College,"Basundhara, Kathmandu",Council for Technical Education and Vocational Training,Diploma in Pharmacy Certificate in Dental Science (Dental Hygiene) Bachelor of Dental Surgery (BDS) MDS Orthodontics MDS Oral Pathology MDS Conservative Dentistry and Endodontics MDS Prosthodontics MDS Periodontics,private Institution,,,7,3,94
New Millennium College,"Dhumbarahi, Kathmandu",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) MA in English (MA English),private Institution,,,24,3,303
Orchid International College,"Gaushala, Bijaya Chowk, Kathmandu",Tribhuvan University,Bachelor of Information Management (BIM) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Arts in Social Work (BASW) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Arts in Psychology (BPSy) Bachelor of Arts in Major English (BA Major English) Bachelor of Arts in Rural Development (BRD) Bachelor of Arts in Journalism and Mass Communication (BAJM) Bachelor of Arts in Gender Studies,private Institution,,,34,3,358
Midwest Academy and Research Institute College of Life Science,"Tulsipur, Dang",Tribhuvan University,BSc Agriculture,private Institution,,,34,3,957
Sanjeevani College of Medical Sciences (Sanjeevani Nursing College),"Kalika Nagar, Butwal, Rupandehi",Council for Technical Education and Vocational Training,Bachelor of Public Health (BPH),private Institution,,,7,3,462
Nepalgunj College,"Korenpur, Kasturi Marg, Nepalgunj, Banke",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA),private Institution,,,34,3,526
Caspian Valley College,"Kumaripati, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,536
Himalayan Multiple College,"Mechinagar-3,Dhulabari, Mechinagar, Mechinagar, Jhapa",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS),private Institution,,,34,3,634
Kathmandu Merryland College,"Tinkune, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,948
Manamohan Memorial College,"Sorhakhutte, Kathmandu",Tribhuvan University,Master of Education General (M.Ed) Master of Business Studies (MBS),private Institution,,,34,3,880
New Capital College,"Ratnanagar-4, Tandi, Ratnanagar, Ratnanagar, Chitwan",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,785
New Horizon College,"Butwal, Rupandehi",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Science (General) (BSc) Master of Business Studies (MBS),private Institution,,,34,3,200
Janapremi College,"Madhyapur Thimi-15 Kaushaltar, Madhyapur Thimi, Bhaktapur",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,581
New Light College,"Shankarnagar, Tillotama, Rupandehi",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Arts (BA),private Institution,,,34,3,834
Asian College for Advance Studies,"Satdobato, Lalitpur",Council for Technical Education and Vocational Training,Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH) Post Basic Bachelor in Nursing (BNS) BSc Nursing Certificate in Medical Laboratory Technology (CMLT) Diploma in Pharmacy Certificate in Diagnostic Radiography,private Institution,,,7,3,825
Janajyoti Multiple Campus Mahendranagar,"Bhimdattnagar-18, Bhansi, Bhimdattnagar, Bhimdatta, Kanchanpur",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Education (BEd) One year Bachelor of Education (BEd) MA in Nepali (MA Nepali) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Education General (M.Ed) Master of Business Studies (MBS) Bachelor of Computer Application (BCA),private Institution,,,24,3,143
Pokhara Bigyan Tatha Prabidhi Campus,"Nayabazar-9, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,Certificate in Medical Laboratory Technology (CMLT) Certificate in Diagnostic Radiography MSc Microbiology Bachelor of Science (General) (BSc) Bachelor of Food Technology (BTech Food),private Institution,,,34,3,671
Sunsari Technical College,"Laxmi-Sadak, Dharan, Sunsari",Tribhuvan University,Diploma in Civil Engineering Diploma in Computer Engineering Certificate in Medical Laboratory Technology (CMLT) Diploma in Pharmacy MSc Microbiology Bachelor of Food Technology (BTech Food) BSc Microbiology MSc Biotechnology Certificate in Diagnostic Radiography PCL in General Medicine-Health Assistant (HA) Pre-Diploma in Computer Engineering (Computer Sub-Overseer) Pre-Diploma in Computer Application and Secretarial Management Bachelor of Information Management (BIM) Bachelor of Hotel Management (BHM),private Institution,,,34,3,564
MB Kedia Dental College and Teaching Hospital,"Birgunj, Birgunj, Parsa",Tribhuvan University,Certificate in Dental Science (Dental Hygiene) Bachelor of Dental Surgery (BDS),private Institution,,,34,3,177
Narayani College,"Hetauda-10, Hetauda, Makwanpur",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Management (+2 Mangement),private Institution,,,24,3,407
Nepal College of Development Studies,"Ganeshmarg, Shankhamul, Kathmandu",Tribhuvan University,Bachelor of Arts in Rural Development (BRD),private Institution,,,34,3,349
Rapti Vidhyamandir Management College,"Tulsipur, Dang",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,957
Bal Jagritee College,"Mahendranagar, Aithpur-6, Mahendranagar, Bhimdatta, Kanchanpur",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd),private Institution,,,34,3,596
Presidency College of Management Sciences,"Bharatpur-10, Bharatpur, Chitwan",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Business Administration (BBA) Master of Business Administration (MBA),private Institution,,,24,3,131
"Amity College, Mahendranagar","Mahendranagar, Bhimdatta, Kanchanpur",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Health Care Management (BHCM) Master of Business Administration (MBA),private Institution,,,28,3,597
Birendra Memorial College,"Dharan-4, Bhupi Marga, Dharan, Sunsari",Tribhuvan University,BSc Microbiology Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Master of Business Studies (MBS) BSc Computer Science and Information Technology (BSc CSIT),private Institution,,,34,3,293
Polygon College,"Babarmahal, Kathmandu",Purbanchal University,MA in Mass Communication and Journalism (MAMCJ),private Institution,,,29,3,29
Model Campus Damak,"Damak-10, Model Chowk, Damak, Jhapa",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Computer Application (BCA),private Institution,,,34,3,251
Amity College Jhapa,"Birtamode-6, Mitranagaar, Birtamod, Birtamode, Jhapa",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Business Studies (BBS),private Institution,,,24,3,186
Model Multiple College,"Janakpur, Dhanusha",National Examinations Board,Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Master of Business Studies (MBS) PCL in General Medicine-Health Assistant (HA) Certificate in Medical Laboratory Technology (CMLT) Bachelor of Business Studies (BBS) Bachelor of Science (General) (BSc) Bachelor of Business Administration (BBA) Master of Business Administration (MBA) Bachelor of Computer Application (BCA) Bachelor of Education (BEd),private Institution,,,24,3,429
Nobel College,"Sinamangal, Kathmandu",Pokhara University,​Bachelor of Nursing Science in Oncology Bachelor of Business Administration (BBA) Bachelor of Computer Information Systems (BCIS) Bachelor of Health Care Management (BHCM) BSc Medical Laboratory Technology (BSCMLT) BSc Medical Microbiology BSc Medical Biochemistry Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH) BSc Nursing Master of Public Health (MPH) Diploma in Pharmacy BBA in Banking and Insurance (BBA-BI),private Institution,,,28,3,864
"Lord Buddha College, Biratnagar","Shahi Marga, Biratnagar-10, Biratnagar, Morang",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,831
Lincoln International College of Management and IT,"Putalisadak (near Kumari QFX), Kathmandu",Lincoln University College,Bachelor (Hons) of Business Administration (BBA) Master of Business Administration (MBA),private Institution,,,19,3,744
​Sungava College,"Khairahani-6, Bharatpur, Khairahani, Chitwan",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA),private Institution,,,24,3,494
Hetauda School of Management,"Hetauda-4, Hetauda, Makwanpur",National Examinations Board,Bachelor of Information Management (BIM) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) MA in Population Studies Master of Business Studies (MBS) Bachelor of Computer Application (BCA),private Institution,,,24,3,409
Sainik Awasiya Mahavidyalaya Bhaktapur,"Sallaghari, Bhaktapur",National Examinations Board,Bachelor of Business Administration (BBA) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Science (+2 Science) BSc Microbiology,private Institution,,,24,3,797
Welhams College,"Buddhanagar, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS),private Institution,,,34,3,193
Acme Engineering College,"Sitapaila Chowk, Kathmandu",Purbanchal University,MSc in Engineering Management MSc in Information System Engineering Bachelor of Civil Engineering (BE Civil) Bachelor of Computer Engineering Bachelor of Architecture (B.Arch),private Institution,,,29,3,872
Nicholson College,"Sallaghari, Bhaktapur",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Master of Business Studies (MBS),private Institution,,,34,3,797
Swarnim Deukhuri Campus,"Lamahi, Dang",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,559
Nimble College,"Kohalpur-11, Golpark, New Road, Kohalpur, Nepalgunj, Banke",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,521
Vijayapur College,"Dharan-14, Dharan, Sunsari",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,292
Depot Adarsha Multiple Campus,"Ghopa Camp, Dharan, Sunsari",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,364
Providence College of Management,"Charpane, Birtamode, Jhapa",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,225
Mark International College,"Ghorahi-11, Ghorahi, Dang",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,368
Nepalgunj Bahumukhi Campus,"Surkhet Road, Nepalgunj, Banke",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,898
Universal Modern College,"Sallaghari, Bhaktapur",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,797
Chanakya College of Management,"Madhyapur, Thimi, Madhyapur Thimi, Bhaktapur",Tribhuvan University,Master of Business Studies (MBS) Bachelor of Business Studies (BBS),private Institution,,,34,3,583
Lumbini Academic College,"Chuchchepati, Chabhil, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM),private Institution,,,34,3,239
Ambition College,"Old Baneshwor, Kathmandu",Tribhuvan University,Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM),private Institution,,,34,3,687
Dipika Campus,"Banepa-10, Godam Chowk, Kavre, Banepa, Kavrepalanchok",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,68
Grammar College,"Setiopi Marga, Koteshwor, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,830
Gyanodaya College,"Sanepa, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,808
KU City College,"Saraswatinagar,, Chabahil, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA),private Institution,,,34,3,821
Jaya Multiple Campus,"Gokarneshwor, Makalbari, Gokarneshwar, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS),private Institution,,,34,3,374
Rainbow International College,"Chhauni, Dallu, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Education (BEd) Master of Business Studies (MBS) Bachelor of Computer Application (BCA),private Institution,,,34,3,234
Rehdon College,"Samakhusi, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,803
Siddhartha Vanasthali College of Management,"Balaju, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,52
Kathmandu National College,"Koteshwor, Opposite of Bhatbhateni, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM),private Institution,,,34,3,530
Canopy College,"Gorkaneshwor - 15, Attarkhel, Jorpati, Gokarneshwar, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,380
Birgunj College,"Shreepur-11, Birgunj, Parsa",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,852
​Angels' Heart International College,"Tarkeshwor-10, Manamaiju, Tarakeshwor, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS),private Institution,,,34,3,917
Surkhet Model College,"Birendranagar-8, Khajura, Birendranagar, Surkhet",Tribhuvan University,Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Bachelor of Hotel Management (BHM) Bachelor of Information Management (BIM),private Institution,,,34,3,174
Applied College of Management and Education,"Munalpath,, Biratnagar, Morang",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,655
Divya Gyan College,"Putalisadak-28, Kamaladi Mode, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA),private Institution,,,34,3,746
Itahari Namuna College,"Itahari, Sunsari",Tribhuvan University,Bachelor of Hotel Management (BHM) Bachelor of Computer Application (BCA) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,419
Everest International College,"Soaltee Mode, Kathmandu",Tribhuvan University,Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Master of Business Studies (MBS),private Institution,,,34,3,876
AIMS International College,"Lagankhel, Lalitpur",Tribhuvan University,Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,546
